stock_code,sw_l1_industry_name,sw_l1_industry_name_eng
002323,建筑材料,Construction Materials
002324,化工,Chemicals
002325,建筑装饰,Construction Decoration
002326,化工,Chemicals
002327,纺织服装,Textile and Apparel
002328,汽车,Automobile
002329,食品饮料,Food and Beverage
002330,食品饮料,Food and Beverage
002331,计算机,Computer
002332,医药生物,Health Care
002333,建筑材料,Construction Materials
002334,电气设备,Electrical Equipment
002335,电气设备,Electrical Equipment
002336,商业贸易,Commerce
002337,机械设备,Machinery Equipment
002338,机械设备,Machinery Equipment
002339,电气设备,Electrical Equipment
002340,有色金属,Nonferrous Metal
002341,化工,Chemicals
002342,机械设备,Machinery Equipment
002343,传媒,Media
002344,商业贸易,Commerce
002345,轻工制造,Light-industry Manufacturing
002346,电气设备,Electrical Equipment
002347,机械设备,Machinery Equipment
002348,轻工制造,Light-industry Manufacturing
002349,医药生物,Health Care
002350,电气设备,Electrical Equipment
002351,电子,Electronics
002352,交通运输,Transportation
002353,机械设备,Machinery Equipment
002354,传媒,Media
002355,汽车,Automobile
002356,轻工制造,Light-industry Manufacturing
002357,交通运输,Transportation
002358,电气设备,Electrical Equipment
002359,通信,Telecommunication
002360,化工,Chemicals
002361,化工,Chemicals
002362,计算机,Computer
002363,汽车,Automobile
002364,电气设备,Electrical Equipment
002365,医药生物,Health Care
002366,机械设备,Machinery Equipment
002367,机械设备,Machinery Equipment
002368,计算机,Computer
002369,电子,Electronics
002370,医药生物,Health Care
002371,电子,Electronics
002372,建筑材料,Construction Materials
002373,计算机,Computer
002374,建筑装饰,Construction Decoration
002375,建筑装饰,Construction Decoration
002376,计算机,Computer
002377,房地产,Real Estate
002378,有色金属,Nonferrous Metal
002379,有色金属,Nonferrous Metal
002380,计算机,Computer
002381,化工,Chemicals
002382,医药生物,Health Care
002383,计算机,Computer
002384,电子,Electronics
002385,农林牧渔,Agriculture
002386,化工,Chemicals
002387,电子,Electronics
002388,电子,Electronics
002389,国防军工,Military
002390,医药生物,Health Care
002391,化工,Chemicals
002392,建筑材料,Construction Materials
002393,医药生物,Health Care
002394,纺织服装,Textile and Apparel
002395,化工,Chemicals
002396,通信,Telecommunication
002397,纺织服装,Textile and Apparel
002398,建筑材料,Construction Materials
002399,医药生物,Health Care
002400,传媒,Media
002401,计算机,Computer
002402,电子,Electronics
002403,家用电器,Household Appliances
002404,纺织服装,Textile and Apparel
002405,计算机,Computer
002406,汽车,Automobile
002407,化工,Chemicals
002408,化工,Chemicals
002409,电子,Electronics
002410,计算机,Computer
002411,医药生物,Health Care
002412,医药生物,Health Care
002413,国防军工,Military
002414,电子,Electronics
002415,电子,Electronics
002416,商业贸易,Commerce
002417,计算机,Computer
002418,家用电器,Household Appliances
002419,商业贸易,Commerce
002420,家用电器,Household Appliances
002421,计算机,Computer
002422,医药生物,Health Care
002423,非银金融,Non-bank Finance
002424,医药生物,Health Care
002425,传媒,Media
002426,机械设备,Machinery Equipment
002427,化工,Chemicals
002428,有色金属,Nonferrous Metal
002429,家用电器,Household Appliances
002430,机械设备,Machinery Equipment
002431,建筑装饰,Construction Decoration
002432,医药生物,Health Care
002433,医药生物,Health Care
002434,汽车,Automobile
002435,医药生物,Health Care
002436,电子,Electronics
002437,医药生物,Health Care
002438,机械设备,Machinery Equipment
002439,计算机,Computer
002440,化工,Chemicals
002441,电气设备,Electrical Equipment
002442,化工,Chemicals
002443,钢铁,Steel
002444,机械设备,Machinery Equipment
002445,传媒,Media
002446,通信,Telecommunication
002447,传媒,Media
002448,汽车,Automobile
002449,电子,Electronics
002450,化工,Chemicals
002451,电气设备,Electrical Equipment
002452,电气设备,Electrical Equipment
002453,化工,Chemicals
002454,汽车,Automobile
002455,化工,Chemicals
002456,电子,Electronics
002457,建筑材料,Construction Materials
002458,农林牧渔,Agriculture
002459,电气设备,Electrical Equipment
002460,有色金属,Nonferrous Metal
002461,食品饮料,Food and Beverage
002462,医药生物,Health Care
002463,电子,Electronics
002464,传媒,Media
002465,国防军工,Military
002466,有色金属,Nonferrous Metal
002467,通信,Telecommunication
002468,交通运输,Transportation
002469,建筑装饰,Construction Decoration
002470,化工,Chemicals
002471,电气设备,Electrical Equipment
002472,汽车,Automobile
002473,家用电器,Household Appliances
002474,计算机,Computer
002475,电子,Electronics
002476,化工,Chemicals
002478,钢铁,Steel
002479,公用事业,Utilities
002480,机械设备,Machinery Equipment
002481,食品饮料,Food and Beverage
002482,建筑装饰,Construction Decoration
002483,机械设备,Machinery Equipment
002484,电子,Electronics
002485,纺织服装,Textile and Apparel
002486,纺织服装,Textile and Apparel
002487,机械设备,Machinery Equipment
002488,汽车,Automobile
002489,轻工制造,Light-industry Manufacturing
002490,机械设备,Machinery Equipment
002491,通信,Telecommunication
002492,交通运输,Transportation
002493,化工,Chemicals
002494,纺织服装,Textile and Apparel
002495,食品饮料,Food and Beverage
002496,化工,Chemicals
002497,化工,Chemicals
002498,电气设备,Electrical Equipment
002499,公用事业,Utilities
002500,非银金融,Non-bank Finance
002501,有色金属,Nonferrous Metal
002502,传媒,Media
002503,纺织服装,Textile and Apparel
002504,建筑装饰,Construction Decoration
002505,商业贸易,Commerce
002506,电气设备,Electrical Equipment
002507,食品饮料,Food and Beverage
002508,家用电器,Household Appliances
002510,汽车,Automobile
002511,轻工制造,Light-industry Manufacturing
002512,计算机,Computer
002513,化工,Chemicals
002514,机械设备,Machinery Equipment
002515,食品饮料,Food and Beverage
002516,汽车,Automobile
002517,传媒,Media
002518,电气设备,Electrical Equipment
002519,家用电器,Household Appliances
002520,机械设备,Machinery Equipment
002521,轻工制造,Light-industry Manufacturing
002522,轻工制造,Light-industry Manufacturing
002523,机械设备,Machinery Equipment
002524,医药生物,Health Care
002526,机械设备,Machinery Equipment
002527,电气设备,Electrical Equipment
002528,计算机,Computer
002529,机械设备,Machinery Equipment
002530,计算机,Computer
002531,电气设备,Electrical Equipment
002532,机械设备,Machinery Equipment
002533,电气设备,Electrical Equipment
002534,电气设备,Electrical Equipment
002535,机械设备,Machinery Equipment
002536,汽车,Automobile
002537,计算机,Computer
002538,化工,Chemicals
