,jq_l1_industry_code,jq_l1_industry_name,jq_l2_industry_code,jq_l2_industry_name,sw_l1_industry_code,sw_l1_industry_name,sw_l2_industry_code,sw_l2_industry_name,sw_l2_industry_code,sw_l2_industry_name,zjw_industry_code,zjw_industry_name
000090.XSHE,HY003,工业指数,HY422,建筑与工程指数,801180,房地产I,801181,房地产开发II,851811,房地产开发III,E48,土木工程建筑业
000096.XSHE,HY001,能源指数,HY404,石油与天然气的炼制和销售指数,801030,化工I,801035,石油化工II,850313,石油贸易III,F51,批发业
000099.XSHE,HY003,工业指数,HY435,航空指数,801170,交通运输I,801173,航空运输II,851741,航空运输III,G56,航空运输业
000100.XSHE,HY008,信息技术指数,HY519,电子元件指数,801080,电子I,801084,光学光电子II,850831,显示器件III,C39,计算机、通信和其他电子设备制造业
000150.XSHE,HY006,医疗保健指数,HY578,医疗保健技术指数,801150,医药生物I,801156,医疗服务II,851561,医疗服务III,Q83,卫生
000151.XSHE,HY003,工业指数,HY428,贸易公司与工业品经销商指数,801200,商业贸易I,801202,贸易II,852021,贸易III,F51,批发业
000153.XSHE,HY006,医疗保健指数,HY492,西药指数,801150,医药生物I,801151,化学制药II,851512,化学制剂III,C27,医药制造业
000155.XSHE,HY010,公用事业指数,HY601,新能源发电业者指数,801160,公用事业I,801161,电力II,851615,新能源发电III,D44,电力、热力生产和供应业
000156.XSHE,HY004,可选消费指数,HY461,有线和卫星电视指数,801760,传媒I,801761,文化传媒II,852224,有线电视网络III,R86,广播、电视、电影和影视录音制作业
000157.XSHE,HY003,工业指数,HY426,建筑机械与重型卡车指数,801890,机械设备I,801074,专用设备II,850722,工程机械III,C35,专用设备制造业
000158.XSHE,HY008,信息技术指数,HY510,互联网软件与服务指数,801750,计算机I,801222,计算机应用II,852226,IT服务III,I65,软件和信息技术服务业
000159.XSHE,HY001,能源指数,HY404,石油与天然气的炼制和销售指数,801030,化工I,801035,石油化工II,850313,石油贸易III,F51,批发业
000166.XSHE,HY007,金融指数,HY501,投资银行业与经纪业指数,801790,非银金融I,801193,证券II,851931,证券III,J67,资本市场服务
000301.XSHE,HY002,材料指数,HY570,化纤指数,801030,化工I,801032,化学纤维II,850341,涤纶III,C28,化学纤维制造业
000333.XSHE,HY004,可选消费指数,HY449,家用电器指数,801110,家用电器I,801111,白色家电II,851112,空调III,C38,电气机械和器材制造业
000338.XSHE,HY003,工业指数,HY426,建筑机械与重型卡车指数,801880,汽车I,801093,汽车零部件II,850921,汽车零部件III,C36,汽车制造业
000400.XSHE,HY003,工业指数,HY423,电气部件与设备指数,801730,电气设备I,801732,电气自动化设备II,857321,电网自动化III,C38,电气机械和器材制造业
000401.XSHE,HY002,材料指数,HY410,建材指数,801710,建筑材料I,801711,水泥制造II,850612,水泥制造III,C30,非金属矿物制品业
000402.XSHE,HY011,房地产指数,HY509,房地产开发指数,801180,房地产I,801181,房地产开发II,851811,房地产开发III,K70,房地产业
000403.XSHE,HY006,医疗保健指数,HY491,生物科技指数,801150,医药生物I,801152,生物制品II,851531,生物制品III,C27,医药制造业
000404.XSHE,HY003,工业指数,HY427,工业机械指数,801110,家用电器I,801111,白色家电II,851115,家电零部件III,C34,通用设备制造业
000406.XSHE,,,,,,,,,,,B07,石油和天然气开采业
000407.XSHE,HY010,公用事业指数,HY529,燃气指数,801160,公用事业I,801163,燃气II,851631,燃气III,D45,燃气生产和供应业
000408.XSHE,HY002,材料指数,HY407,化肥与农用化工指数,801030,化工I,801034,化学制品II,850336,钾肥III,C26,化学原料和化学制品制造业
000409.XSHE,HY003,工业指数,HY425,综合类行业指数,801230,综合I,801231,综合II,852311,综合III,S90,综合
000410.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801072,通用机械II,850711,机床工具III,C34,通用设备制造业
000411.XSHE,HY006,医疗保健指数,HY487,保健护理产品经销商指数,801150,医药生物I,801154,医药商业II,851541,医药商业III,F51,批发业
000413.XSHE,HY008,信息技术指数,HY519,电子元件指数,801080,电子I,801084,光学光电子II,850831,显示器件III,C39,计算机、通信和其他电子设备制造业
000415.XSHE,HY007,金融指数,HY496,其他多元金融服务指数,801790,非银金融I,801191,多元金融II,851921,多元金融III,L71,租赁业
000416.XSHE,HY007,金融指数,HY496,其他多元金融服务指数,801790,非银金融I,801191,多元金融II,851921,多元金融III,J69,其他金融业
000417.XSHE,HY004,可选消费指数,HY467,百货商店指数,801200,商业贸易I,801203,一般零售II,852031,百货III,F52,零售业
000418.XSHE,,,,,,,,,,,C38,电气机械和器材制造业
000419.XSHE,HY004,可选消费指数,HY467,百货商店指数,801200,商业贸易I,801203,一般零售II,852033,多业态零售III,F52,零售业
000420.XSHE,HY002,材料指数,HY570,化纤指数,801030,化工I,801032,化学纤维II,850343,粘胶III,C28,化学纤维制造业
000421.XSHE,HY010,公用事业指数,HY529,燃气指数,801160,公用事业I,801163,燃气II,851631,燃气III,D45,燃气生产和供应业
000422.XSHE,HY002,材料指数,HY407,化肥与农用化工指数,801030,化工I,801033,化学原料II,850322,氯碱III,C26,化学原料和化学制品制造业
000423.XSHE,HY006,医疗保健指数,HY572,中药指数,801150,医药生物I,801155,中药II,851521,中药III,C27,医药制造业
000425.XSHE,HY003,工业指数,HY426,建筑机械与重型卡车指数,801890,机械设备I,801074,专用设备II,850722,工程机械III,C35,专用设备制造业
000426.XSHE,HY002,材料指数,HY414,金属非金属指数,801050,有色金属I,801055,工业金属II,850553,铅锌III,B09,有色金属矿采选业
000428.XSHE,HY004,可选消费指数,HY457,酒店、度假村与豪华游轮指数,801210,休闲服务I,801213,酒店II,852121,酒店III,H61,住宿业
000429.XSHE,HY003,工业指数,HY440,公路与铁路指数,801170,交通运输I,801175,高速公路II,851731,高速公路III,G54,道路运输业
000430.XSHE,HY004,可选消费指数,HY457,酒店、度假村与豪华游轮指数,801210,休闲服务I,801212,景点II,852112,自然景点III,N78,公共设施管理业
000488.XSHE,HY002,材料指数,HY419,纸制品指数,801140,轻工制造I,801143,造纸II,851411,造纸III,C22,造纸和纸制品业
000498.XSHE,HY003,工业指数,HY422,建筑与工程指数,801720,建筑装饰I,801723,基础建设II,857232,路桥施工III,E48,土木工程建筑业
000501.XSHE,HY004,可选消费指数,HY467,百货商店指数,801200,商业贸易I,801203,一般零售II,852031,百货III,F52,零售业
000502.XSHE,HY011,房地产指数,HY509,房地产开发指数,801180,房地产I,801181,房地产开发II,851811,房地产开发III,K70,房地产业
000503.XSHE,HY008,信息技术指数,HY510,互联网软件与服务指数,801150,医药生物I,801156,医疗服务II,851561,医疗服务III,I64,互联网和相关服务
